"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Allan Dykstra","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".209",".313",".360",".673",".304"," ","97","0.0","0.0"," ","0.0","0.0","0.0","9113"
"Adam Dunn","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".203",".306",".373",".679",".304"," ","96","0.0","0.0"," ","0.0","0.0","0.0","319"
"Brennan Boesch","Reds","108","99","24","4","1","4","10","12","6","25","1","2","1"," ",".240",".286",".407",".693",".304"," ","90","0.0","-2.1"," ","-1.2","-3.4","-0.1","914"
"David DeJesus","Angels","361","318","76","16","2","6","38","31","33","64","5","4","3"," ",".237",".316",".358",".675",".303"," ","98","-0.6","-0.3"," ","-1.4","-6.4","0.4","1825"
"Chris Dickerson","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".308",".369",".677",".303"," ","95","0.0","0.0"," ","0.0","0.0","0.0","7095"
"Scott Krieger","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".286",".395",".681",".301"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa502061"
"Chris Marrero","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".294",".382",".676",".299"," ","88","0.0","0.0"," ","0.0","0.0","0.0","2852"
"Jesus Aguilar","Indians","46","42","10","2","0","1","5","5","3","10","0","0","0"," ",".234",".296",".380",".676",".299"," ","93","0.0","0.1"," ","-0.4","-0.8","0.0","11342"
"Kyeong Kang","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".290",".383",".674",".299"," ","88","0.0","0.0"," ","0.0","0.0","0.0","sa327822"
"Luke Scott","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".293",".380",".673",".298"," ","94","0.0","0.0"," ","0.0","0.0","0.0","3469"
"Brandon Laird","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".277",".401",".678",".298"," ","90","0.0","0.0"," ","0.0","0.0","0.0","5476"
"Charlie Cutler","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".318",".344",".662",".298"," ","86","0.0","0.0"," ","0.0","0.0","0.0","sa454748"
"Jimmy Van Ostrand","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".251",".299",".372",".670",".297"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa327047"
"Henry Urrutia","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".262",".295",".373",".668",".295"," ","85","0.0","0.0"," ","0.0","0.0","0.0","14441"
"Matt Hague","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".303",".357",".660",".295"," ","88","0.0","0.0"," ","0.0","0.0","0.0","7772"
"Ryan Raburn","Indians","157","143","33","7","0","4","16","17","11","39","1","1","0"," ",".230",".287",".376",".664",".294"," ","90","0.0","-0.4"," ","-1.8","-2.9","0.0","2218"
"Dean Green","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".289",".377",".666",".294"," ","85","0.0","0.0"," ","0.0","0.0","0.0","sa526876"
"Raul Ibanez","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".291",".371",".662",".294"," ","86","0.0","0.0"," ","0.0","0.0","0.0","607"
"Andrew Clark","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".289",".372",".661",".294"," ","84","0.0","0.0"," ","0.0","0.0","0.0","sa328044"
"Ryan Doumit"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".289",".373",".662",".292"," ","84","0.0","0.0"," ","0.0","0.0","0.0","2113"
"Vince Belnome","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".308",".341",".649",".292"," ","90","0.0","0.0"," ","0.0","0.0","0.0","8126"
