"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Miguel Cabrera","Tigers","610","536","169","36","1","29","88","97","65","99","4","2","1"," ",".315",".390",".547",".937",".402"," ","160","-3.0","-2.1"," ","37.4","-13.5","4.8","1744"
"Jose Abreu","White Sox","609","539","158","28","2","37","87","102","58","127","7","3","2"," ",".293",".367",".554",".921",".395"," ","154","-1.2","-0.6"," ","34.7","-14.1","4.4","15676"
"Paul Goldschmidt","Diamondbacks","613","525","148","35","2","29","82","86","79","133","4","11","6"," ",".282",".377",".518",".895",".386"," ","144","0.6","6.3"," ","30.7","-5.3","4.8","9218"
"Joey Votto","Reds","575","467","130","28","1","19","74","67","97","112","5","4","2"," ",".279",".405",".465",".870",".381"," ","143","-1.6","4.2"," ","26.1","-7.2","3.9","4314"
"Edwin Encarnacion","Blue Jays","548","475","127","24","2","29","77","86","63","77","5","3","2"," ",".266",".355",".510",".865",".375"," ","140","-0.7","-1.3"," ","23.4","-14.9","2.9","2151"
"Anthony Rizzo","Cubs","636","553","149","32","2","31","85","93","69","114","8","6","4"," ",".270",".358",".504",".861",".375"," ","138","-1.1","9.2"," ","26.1","-3.3","4.6","3473"
"Freddie Freeman","Braves","632","545","155","32","2","23","76","81","74","122","7","3","2"," ",".285",".374",".478",".852",".373"," ","140","-1.1","2.5"," ","27.0","-9.7","4.0","5361"
"Prince Fielder","Rangers","567","485","135","27","1","22","74","78","69","90","9","1","1"," ",".279",".375",".471",".846",".367"," ","132","-3.5","-5.6"," ","16.2","-16.4","2.0","4613"
"Justin Morneau","Rockies","518","471","138","29","2","18","64","73","37","77","5","2","1"," ",".294",".350",".478",".828",".361"," ","114","-2.2","1.9"," ","6.3","-8.1","1.5","1737"
"Steve Pearce","Orioles","481","423","114","24","1","19","61","62","46","94","6","4","3"," ",".270",".348",".468",".816",".358"," ","129","-0.2","1.2"," ","15.3","-7.3","2.6","9957"
"Brandon Moss","Cardinals","523","459","114","21","1","28","67","77","51","145","7","2","1"," ",".248",".330",".484",".813",".354"," ","131","0.0","-1.6"," ","17.9","-10.9","2.6","4467"
"Carlos Santana","Indians","625","519","127","29","1","22","78","78","96","116","4","4","2"," ",".245",".364",".432",".796",".353"," ","130","-2.1","-1.3"," ","18.8","-14.3","2.7","2396"
"Mike Napoli","Rangers","544","460","112","24","1","22","69","71","73","158","5","3","2"," ",".243",".350",".440",".790",".350"," ","121","-1.7","4.2"," ","11.2","-6.6","2.4","3057"
"Adrian Gonzalez","Dodgers","630","571","160","32","0","24","75","85","51","108","3","2","1"," ",".280",".339",".461",".800",".348"," ","126","-3.0","8.4"," ","15.2","-3.6","3.3","1908"
"Ryan Zimmerman","Nationals","529","473","130","26","2","17","63","67","48","101","3","3","2"," ",".275",".343",".446",".789",".347"," ","121","-0.8","10.2"," ","11.5","0.1","3.0","4220"
"Brandon Belt","Giants","509","450","120","27","2","17","57","63","49","119","5","6","3"," ",".267",".342",".449",".791",".347"," ","127","-0.3","5.6"," ","15.4","-4.5","2.9","10264"
"Chris Davis","Orioles","544","478","115","22","1","29","69","78","53","172","7","3","2"," ",".241",".324",".476",".800",".346"," ","121","0.2","1.4"," ","12.8","-10.1","2.2","9272"
"Adam Lind","Brewers","472","423","115","21","1","17","54","60","42","86","2","1","1"," ",".271",".337",".447",".784",".344"," ","116","-1.6","-1.4"," ","6.9","-11.2","1.1","8027"
"Albert Pujols","Angels","585","530","142","28","1","24","72","83","45","71","5","3","2"," ",".268",".328",".462",".790",".342"," ","125","-4.2","4.4"," ","11.9","-7.4","2.6","1177"
"Adam LaRoche","White Sox","564","482","115","21","1","24","68","72","74","124","3","2","1"," ",".238",".341",".433",".774",".340"," ","115","-2.6","0.8"," ","6.8","-12.3","1.4","1904"
"Eric Hosmer","Royals","616","558","155","32","2","18","70","76","49","96","3","7","4"," ",".278",".337",".436",".773",".339"," ","117","-0.6","0.8"," ","11.0","-11.0","2.2","3516"
"Allen Craig","Red Sox","306","278","77","17","1","9","36","39","22","64","3","1","1"," ",".277",".334",".434",".768",".339"," ","114","-1.6","-1.0"," ","3.1","-6.3","0.7","3433"
"Joe Mauer","Twins","528","460","130","27","2","8","58","54","61","93","2","2","2"," ",".283",".366",".399",".765",".337"," ","116","0.0","1.6"," ","9.3","-9.2","1.9","1857"
"Kyle Blanks","Rangers","164","147","37","8","0","6","20","20","13","41","2","1","1"," ",".253",".322",".437",".759",".335"," ","109","0.2","0.2"," ","1.9","-4.2","0.3","49"
"Chris Carter","Astros","541","474","105","20","1","29","66","75","58","174","4","3","2"," ",".222",".310",".452",".762",".334"," ","115","-0.8","-1.4"," ","8.1","-13.9","1.3","9911"
