"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Zunino","Mariners","453","415","92","18","2","20","49","57","23","127","8","3","2"," ",".221",".274",".413",".687",".302"," ","95","0.2","3.7"," ","-2.3","13.1","2.8","13265"
"Steve Clevenger","Orioles","66","61","15","3","0","1","7","6","5","11","0","0","0"," ",".253",".306",".370",".676",".301"," ","89","-0.2","0.2"," ","-0.9","-1.4","0.0","9542"
"Jason Castro","Astros","402","360","83","18","1","11","41","42","33","108","4","1","1"," ",".230",".300",".376",".675",".300"," ","91","0.0","-1.9"," ","-3.8","6.1","1.7","8722"
"Kurt Suzuki","Twins","407","370","94","21","1","6","40","39","27","48","5","2","1"," ",".255",".312",".364",".675",".300"," ","90","-1.2","0.0"," ","-5.6","8.1","1.7","8259"
"Jarrod Saltalamacchia","Diamondbacks","398","351","77","19","1","11","38","41","39","122","2","2","1"," ",".220",".300",".374",".673",".299"," ","88","0.0","-4.8"," ","-5.5","3.4","1.1","5557"
"Robinson Chirinos","Rangers","330","300","71","14","1","10","34","36","21","69","4","2","1"," ",".236",".292",".381",".674",".299"," ","84","-0.3","2.7"," ","-6.0","9.7","1.6","3142"
"Charlie Cutler","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".318",".344",".662",".298"," ","86","0.0","0.0"," ","0.0","0.0","0.0","sa454748"
"Josh Phegley","Athletics","166","154","37","7","1","5","17","19","7","29","2","1","0"," ",".240",".279",".397",".676",".298"," ","92","-0.1","-0.6"," ","-1.6","2.9","0.7","9308"
"Geovany Soto","White Sox","148","132","29","6","0","5","15","16","12","39","1","1","1"," ",".220",".290",".373",".663",".295"," ","84","-0.7","0.2"," ","-3.3","3.3","0.5","3707"
"Gary Sanchez","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".280",".385",".665",".295"," ","84","0.0","0.0"," ","0.0","0.0","0.0","sa549555"
"William Swanner","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".279",".388",".667",".295"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa549202"
"Carlos Corporan","Rangers","142","129","30","6","0","4","15","15","9","32","2","1","1"," ",".236",".292",".373",".665",".295"," ","81","-0.3","-0.5"," ","-3.2","2.5","0.4","5587"
"Christian Vazquez","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".307",".351",".658",".294"," ","83","0.0","0.0"," ","0.0","0.0","0.0","9774"
"A.J. Ellis","Dodgers","224","192","43","8","0","4","19","19","26","42","2","1","1"," ",".225",".324",".326",".650",".294"," ","89","-1.2","1.9"," ","-4.0","6.6","1.0","5677"
"Erik Kratz","Phillies","114","105","24","5","0","4","12","13","7","23","1","1","0"," ",".232",".283",".388",".671",".293"," ","85","-0.3","0.5"," ","-2.1","2.8","0.5","4403"
"Andrew Susac","Giants","154","137","31","6","0","4","14","15","13","35","1","1","0"," ",".224",".297",".356",".653",".293"," ","91","0.1","0.2"," ","-1.5","-0.3","0.3","13132"
"Dustin Garneau","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".229",".285",".372",".657",".292"," ","68","0.0","0.0"," ","0.0","0.0","0.0","9433"
"Francisco Cervelli","Pirates","352","316","77","15","1","4","31","31","25","74","6","4","2"," ",".245",".309",".340",".649",".292"," ","87","-0.3","-1.6"," ","-5.5","5.9","1.2","5275"
"Ryan Doumit"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".289",".373",".662",".292"," ","84","0.0","0.0"," ","0.0","0.0","0.0","2113"
"Hank Conger","Astros","206","185","42","9","0","5","21","21","16","45","2","2","1"," ",".227",".293",".363",".656",".292"," ","85","-0.3","-1.3"," ","-3.6","3.1","0.7","2505"
