"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Miguel Cabrera","Tigers","610","536","169","36","1","29","88","97","65","99","4","2","1"," ",".315",".390",".547",".937",".402"," ","160","-3.0","-2.1"," ","37.4","-13.5","4.8","1744"
"Kris Bryant","Cubs","451","400","104","20","1","24","57","68","40","132","5","6","4"," ",".260",".333",".498",".831",".361"," ","129","-0.1","0.0"," ","14.7","1.8","3.3","15429"
"Adrian Beltre","Rangers","578","525","156","29","1","22","72","82","43","74","5","1","1"," ",".297",".352",".480",".833",".360"," ","127","-1.5","6.4"," ","15.9","8.6","4.7","639"
"Josh Donaldson","Blue Jays","618","546","144","30","2","26","81","87","60","119","6","5","3"," ",".265",".341",".472",".814",".356"," ","127","-0.6","10.0"," ","17.8","12.4","5.5","5038"
"Anthony Rendon","Nationals","500","445","124","28","3","15","64","57","44","79","5","8","4"," ",".279",".348",".456",".804",".354"," ","125","1.0","3.4"," ","15.2","5.3","3.9","12861"
"Pablo Sandoval","Red Sox","568","517","151","32","2","18","71","78","41","78","4","1","1"," ",".291",".346",".463",".809",".353"," ","123","-2.7","0.8"," ","12.0","3.0","3.7","5409"
"Ryan Zimmerman","Nationals","529","473","130","26","2","17","63","67","48","101","3","3","2"," ",".275",".343",".446",".789",".347"," ","121","-0.8","10.2"," ","11.5","0.1","3.0","4220"
"Nolan Arenado","Rockies","573","531","150","35","2","20","69","76","31","70","4","3","2"," ",".283",".325",".469",".794",".346"," ","104","-0.8","11.5"," ","2.0","13.7","3.6","9777"
"Matt Carpenter","Cardinals","656","563","155","35","3","10","82","55","76","104","7","5","3"," ",".275",".366",".403",".770",".345"," ","121","0.9","-3.0"," ","16.5","-0.6","3.9","8090"
"David Wright","Mets","551","491","135","28","2","15","62","62","51","101","4","9","5"," ",".274",".345",".429",".774",".340"," ","121","-0.4","0.8"," ","12.5","2.9","3.5","3787"
"Evan Longoria","Rays","629","558","142","30","2","24","74","82","60","131","6","3","2"," ",".256",".332",".445",".777",".338"," ","123","-0.5","9.4"," ","15.1","11.8","5.2","9368"
