"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Joey Gallo","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".296",".479",".774",".336"," ","110","0.0","0.0"," ","0.0","0.0","0.0","14128"
"Kyle Seager","Mariners","622","557","146","29","3","20","73","76","52","111","6","7","4"," ",".262",".329",".432",".762",".336"," ","119","-0.5","2.4"," ","12.2","4.4","4.0","9785"
"Chase Headley","Yankees","559","488","125","25","1","15","63","62","58","129","7","7","4"," ",".256",".341",".406",".747",".332"," ","110","-0.6","6.6"," ","5.7","8.7","3.6","4720"
"Manny Machado","Orioles","557","514","140","31","2","17","67","64","33","91","3","6","3"," ",".273",".318",".437",".755",".331"," ","111","-0.6","16.1"," ","6.0","18.2","4.6","11493"
"Pedro Alvarez","Pirates","513","458","110","20","1","23","59","69","48","141","3","5","3"," ",".241",".314",".444",".758",".330"," ","113","-0.9","2.1"," ","6.4","-7.6","1.5","2495"
"Brett Lawrie","Athletics","550","499","131","26","2","17","62","66","38","86","7","6","4"," ",".263",".321",".426",".748",".330"," ","114","0.7","5.0"," ","9.4","7.1","3.8","5247"
"Aramis Ramirez","Pirates","490","447","119","24","1","15","53","61","30","75","9","2","1"," ",".266",".322",".427",".749",".330"," ","107","-4.0","-3.7"," ","-0.1","-1.8","1.4","1002"
"Todd Frazier","Reds","594","532","132","25","2","23","65","71","48","128","8","12","7"," ",".248",".317",".431",".747",".330"," ","108","1.0","1.6"," ","6.2","2.4","2.9","785"
"Lonnie Chisenhall","Indians","466","424","111","23","1","15","52","56","31","88","5","3","2"," ",".263",".318",".429",".746",".328"," ","113","-0.2","-6.8"," ","6.4","-4.9","1.8","7571"
"Josh Harrison","Pirates","576","536","149","32","5","12","65","58","25","83","6","17","9"," ",".278",".315",".422",".737",".324"," ","108","0.8","1.4"," ","6.3","1.8","2.8","8202"
"Yasmany Tomas","Diamondbacks","303","282","72","14","2","12","31","38","15","77","2","5","4"," ",".255",".296",".440",".736",".322"," ","100","-0.2","0.0"," ","-0.3","-1.9","0.8","17171"
"Trevor Plouffe","Twins","483","434","107","24","1","15","52","55","39","97","4","2","2"," ",".248",".314",".409",".723",".320"," ","104","-0.9","-5.4"," ","1.3","-5.7","1.2","7462"
"Martin Prado","Marlins","591","541","148","30","3","10","64","55","38","70","4","4","3"," ",".274",".324",".398",".722",".320"," ","102","-1.3","0.5"," ","-0.2","2.8","2.2","3312"
"Nick Castellanos","Tigers","543","500","133","27","3","14","58","62","33","110","3","4","2"," ",".265",".313",".414",".727",".319"," ","102","-0.7","-13.4"," ","0.7","-12.0","0.7","11737"
"David Freese","Angels","536","481","125","23","1","12","55","56","43","123","6","3","2"," ",".260",".327",".387",".714",".319"," ","109","-2.6","-7.1"," ","2.7","-5.0","1.7","9549"
"Eric Chavez","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".316",".407",".723",".318"," ","97","0.0","0.0"," ","0.0","0.0","0.0","906"
"Cody Asche","Phillies","470","429","109","23","1","14","45","52","32","100","3","3","2"," ",".254",".308",".415",".723",".317"," ","101","0.1","-3.7"," ","0.5","-3.7","1.2","11997"
"Luis Valbuena","Astros","525","458","108","23","2","14","57","55","57","104","3","3","2"," ",".236",".323",".390",".712",".317"," ","103","-0.4","0.8"," ","1.1","2.9","2.3","4969"
"Mike Moustakas","Royals","504","459","114","26","1","16","54","59","34","82","5","3","2"," ",".248",".304",".414",".718",".316"," ","101","-0.5","4.0"," ","0.1","6.0","2.5","4892"
"Jake Lamb","Diamondbacks","259","236","59","13","1","7","25","28","18","65","2","2","1"," ",".249",".305",".407",".712",".314"," ","94","0.1","-0.1"," ","-1.5","1.0","0.8","13329"
"Mark Reynolds","Cardinals","344","299","64","12","0","14","37","42","38","97","3","3","2"," ",".215",".307",".397",".704",".313"," ","100","-0.4","-2.0"," ","-0.6","-6.9","0.3","7619"
"Jung-ho Kang","Pirates","372","337","84","17","1","11","38","40","27","88","3","5","3"," ",".249",".308",".400",".708",".313"," ","101","-0.3","0.0"," ","0.0","3.4","1.6","17182"
"Yunel Escobar","Nationals","506","455","123","21","1","7","52","45","40","61","4","3","2"," ",".271",".332",".366",".698",".312"," ","97","-1.4","3.5"," ","-2.9","5.8","2.0","4191"
"Justin Turner","Dodgers","290","262","69","15","1","4","28","28","21","49","3","3","2"," ",".264",".323",".378",".702",".312"," ","101","-0.5","-2.9"," ","-0.2","-2.5","0.7","5235"
"Josh Satin","Mets","47","41","10","2","0","1","5","4","5","11","0","0","0"," ",".243",".322",".370",".692",".310"," ","95","-0.1","0.2"," ","-0.4","-1.0","0.0","6788"
"Conor Gillaspie","Angels","477","431","108","20","3","11","49","50","37","76","3","2","2"," ",".252",".313",".388",".701",".310"," ","94","0.0","-5.5"," ","-3.1","-6.0","0.7","9009"
"Garin Cecchini","Red Sox","27","24","6","1","0","0","3","3","2","6","0","0","0"," ",".257",".322",".370",".692",".308"," ","93","0.0","0.0"," ","-0.2","0.1","0.1","11608"
"Ryan Wheeler","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".259",".300",".396",".696",".307"," ","77","0.0","0.0"," ","0.0","0.0","0.0","9312"
"Juan Francisco","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".282",".416",".699",".306"," ","92","0.0","0.0"," ","0.0","0.0","0.0","6978"
"Chris Johnson","Indians","523","489","130","27","1","10","46","54","26","128","3","3","2"," ",".265",".304",".387",".691",".304"," ","93","-1.7","-9.9"," ","-6.1","-9.0","0.0","1191"
"Brock Holt","Red Sox","308","281","75","14","2","2","33","27","20","52","2","7","4"," ",".269",".321",".360",".681",".304"," ","90","0.5","-1.3"," ","-3.0","-2.1","0.5","9345"
"Kevin Youkilis","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".306",".370",".676",".303"," ","90","0.0","0.0"," ","0.0","0.0","0.0","1935"
"Adonis Garcia","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".258",".293",".391",".684",".302"," ","89","0.0","0.0"," ","0.0","0.0","0.0","13777"
"Casey McGehee","Marlins","528","473","119","23","1","7","47","49","46","86","3","3","2"," ",".252",".320",".353",".673",".302"," ","97","-2.9","-5.8"," ","-4.8","-3.7","0.8","6086"
"Maikel Franco","Phillies","354","334","82","16","1","12","34","42","14","56","2","2","1"," ",".244",".277",".411",".688",".302"," ","90","0.1","2.7"," ","-3.8","-0.4","0.7","12179"
"Chad Tracy","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".251",".298",".385",".683",".301"," ","90","0.0","0.0"," ","0.0","0.0","0.0","1888"
"Zach Lutz","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".301",".375",".675",".301"," ","95","0.0","0.0"," ","0.0","0.0","0.0","3735"
"Andy Marte","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".248",".293",".394",".686",".301"," ","86","0.0","0.0"," ","0.0","0.0","0.0","3203"
"Kelly Johnson","Mets","299","265","60","11","1","8","28","30","27","76","2","4","2"," ",".227",".302",".370",".672",".300"," ","90","-0.1","-2.1"," ","-3.5","-5.8","0.0","2234"
"Alberto Callaspo","Dodgers","482","428","107","19","1","7","42","42","46","55","2","2","1"," ",".250",".322",".345",".668",".300"," ","90","-2.0","-3.9"," ","-7.5","-2.4","0.5","3336"
"Juan Uribe","Mets","382","355","90","18","1","9","35","41","20","75","2","2","1"," ",".253",".295",".385",".680",".300"," ","93","-1.2","7.6"," ","-4.3","9.2","1.8","454"
"Kevin Kouzmanoff","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".290",".389",".680",".299"," ","84","0.0","0.0"," ","0.0","0.0","0.0","5995"
"Danny Valencia","Athletics","208","194","47","10","1","6","22","24","11","44","1","1","1"," ",".243",".284",".394",".678",".298"," ","87","-0.7","0.9"," ","-3.8","-2.1","0.1","6364"
"Alex Guerrero","Dodgers","172","160","39","7","1","5","17","19","8","33","2","2","1"," ",".242",".282",".393",".675",".297"," ","91","0.0","-0.1"," ","-1.8","-0.6","0.3","15670"
"Yangervis Solarte","Padres","342","310","77","14","1","6","33","29","25","42","2","1","1"," ",".249",".307",".359",".666",".297"," ","92","-0.3","-1.9"," ","-3.2","-0.6","0.7","5352"
"Zelous Wheeler","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".290",".372",".662",".295"," ","84","0.0","0.0"," ","0.0","0.0","0.0","8822"
"Matt Hague","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".303",".357",".660",".295"," ","88","0.0","0.0"," ","0.0","0.0","0.0","7772"
"Donnie Murphy","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".279",".386",".665",".294"," ","81","0.0","0.0"," ","0.0","0.0","0.0","4704"
"Charlie Culberson","Rockies","66","62","16","3","0","1","6","7","3","15","1","1","1"," ",".251",".285",".385",".670",".294"," ","68","0.1","-0.5"," ","-2.3","-0.8","-0.1","3298"
"Mike Olt","White Sox","214","191","39","7","0","9","21","25","19","70","1","1","1"," ",".204",".279",".381",".660",".294"," ","83","0.0","0.5"," ","-4.2","-2.0","0.0","10698"
"Eric Campbell","Mets","138","123","29","6","0","2","12","12","12","28","2","2","1"," ",".235",".308",".341",".649",".293"," ","89","-0.1","-0.3"," ","-1.8","-2.5","0.0","6938"
"Maicer Izturis","Blue Jays","144","132","33","7","0","2","15","13","9","18","1","3","1"," ",".254",".305",".350",".655",".293"," ","83","-0.2","-2.7"," ","-3.0","-1.4","0.0","2437"
"Jeff Keppinger","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".262",".301",".356",".657",".292"," ","82","0.0","0.0"," ","0.0","0.0","0.0","3856"
"Scott Sizemore","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".292",".363",".655",".292"," ","83","0.0","0.0"," ","0.0","0.0","0.0","2881"
"Gordon Beckham","White Sox","324","297","71","15","0","6","33","31","20","51","4","3","2"," ",".241",".294",".360",".654",".291"," ","81","-0.3","-1.3"," ","-7.1","-0.1","0.4","9015"
"Steve Tolleson","Blue Jays","118","107","26","5","1","2","12","11","9","27","1","2","1"," ",".239",".300",".349",".649",".291"," ","81","-0.2","-0.6"," ","-2.7","-1.1","0.0","4450"
"Matt Davidson","White Sox","101","91","19","4","0","4","11","11","7","29","1","0","0"," ",".210",".276",".379",".655",".291"," ","81","0.0","0.0"," ","-2.1","-1.4","0.0","7226"
"Michael Young","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".258",".303",".352",".655",".290"," ","86","0.0","0.0"," ","0.0","0.0","0.0","1286"
"Matt Dominguez","Astros","33","31","7","1","0","1","3","4","2","6","0","0","0"," ",".230",".276",".380",".655",".289"," ","83","-0.1","-0.2"," ","-0.7","0.0","0.0","4903"
"Tyler Saladino","White Sox","26","24","6","1","0","1","3","3","2","5","0","1","0"," ",".235",".294",".351",".645",".289"," ","80","0.0","0.0"," ","-0.6","0.3","0.1","10807"
"Brandon Snyder","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".274",".379",".653",".288"," ","79","0.0","0.0"," ","0.0","0.0","0.0","9856"
"Don Kelly","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".305",".334",".639",".288"," ","80","0.0","0.0"," ","0.0","0.0","0.0","2216"
"Andy LaRoche","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".282",".366",".648",".287"," ","79","0.0","0.0"," ","0.0","0.0","0.0","6444"
"Rafael Ynoa","Rockies","140","129","33","6","1","1","13","12","8","23","1","2","2"," ",".253",".299",".344",".643",".286"," ","63","-0.3","-1.4"," ","-6.0","-1.0","-0.3","2832"
"Carlos Rivero","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".287",".358",".644",".286"," ","77","0.0","0.0"," ","0.0","0.0","0.0","1136"
"Jamey Carroll","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".257",".316",".316",".632",".286"," ","80","0.0","0.0"," ","0.0","0.0","0.0","1591"
"Mark DeRosa","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".300",".335",".635",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","1392"
"Placido Polanco","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".261",".308",".326",".634",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","1176"
"David Adams","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".287",".351",".638",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","7389"
"Luis Jimenez","Red Sox","163","153","36","8","1","4","16","17","6","30","1","3","2"," ",".236",".268",".380",".649",".285"," ","76","0.0","1.4"," ","-4.4","0.7","0.1","6341"
"Kyle Kubitza","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".291",".345",".636",".284"," ","79","0.0","0.0"," ","0.0","0.0","0.0","12148"
"Max Muncy","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".298",".335",".633",".284"," ","82","0.0","0.0"," ","0.0","0.0","0.0","13301"
"Will Middlebrooks","Padres","378","349","76","13","1","13","34","41","21","99","3","3","2"," ",".219",".268",".371",".639",".282"," ","82","-0.5","-1.5"," ","-8.0","0.0","0.4","7002"
"Matt Duffy","Giants","100","91","23","4","0","1","8","8","6","17","1","3","1"," ",".248",".297",".331",".629",".281"," ","83","0.1","0.2"," ","-1.8","-1.2","0.0","13836"
"Alex Gonzalez","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".275",".357",".632",".279"," ","74","0.0","0.0"," ","0.0","0.0","0.0","520"
"Daniel Muno","Mets","34","30","6","1","0","1","3","3","3","7","0","1","0"," ",".214",".291",".320",".612",".278"," ","79","0.0","0.0"," ","-0.8","0.1","0.0","12214"
"Mike Aviles","Indians","270","254","62","12","1","5","26","26","11","37","2","7","4"," ",".243",".275",".350",".626",".278"," ","78","0.1","-2.6"," ","-6.5","-1.0","0.1","5986"
"Hernan Perez","Brewers","146","138","34","6","1","2","14","13","6","18","1","4","2"," ",".250",".281",".345",".626",".277"," ","73","0.1","-1.0"," ","-4.3","0.4","0.1","5751"
"Jerry Hairston","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".292",".324",".617",".277"," ","77","0.0","0.0"," ","0.0","0.0","0.0","144"
"Giovanny Urshela","Indians","40","37","9","2","0","1","4","4","1","5","0","0","0"," ",".232",".265",".362",".627",".276"," ","77","0.0","0.0"," ","-1.0","0.2","0.0","10681"
"Cheslor Cuthbert","Royals","53","49","11","2","0","1","5","5","3","9","0","1","0"," ",".230",".276",".344",".621",".276"," ","73","0.0","0.0"," ","-1.6","-0.4","0.0","10473"
"Jayson Nix","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".281",".334",".615",".275"," ","73","0.0","0.0"," ","0.0","0.0","0.0","3790"
"Ramon Santiago","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".297",".306",".603",".274"," ","70","0.0","0.0"," ","0.0","0.0","0.0","1417"
"Blake DeWitt","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".281",".334",".614",".274"," ","72","0.0","0.0"," ","0.0","0.0","0.0","7485"
"Brent Morel","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".282",".327",".609",".272"," ","73","0.0","0.0"," ","0.0","0.0","0.0","6402"
"Ramiro Pena","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".286",".324",".610",".272"," ","71","0.0","0.0"," ","0.0","0.0","0.0","8841"
"Ed Lucas","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".281",".328",".609",".272"," ","69","0.0","0.0"," ","0.0","0.0","0.0","7532"
"Brent Lillibridge","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".265",".342",".608",".271"," ","68","0.0","0.0"," ","0.0","0.0","0.0","3501"
"Joaquin Arias","Giants","251","236","59","11","1","2","19","21","9","34","2","2","1"," ",".251",".283",".331",".614",".271"," ","75","0.1","-0.4"," ","-6.8","-1.6","-0.1","3817"
"Gregorio Petit","Yankees","122","114","27","5","0","2","11","11","5","22","1","1","1"," ",".236",".273",".335",".608",".270"," ","67","0.0","-0.5"," ","-4.4","0.5","0.0","3812"
"Chris Nelson","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".278",".329",".607",".270"," ","74","0.0","0.0"," ","0.0","0.0","0.0","8175"
"Brandon Drury","Diamondbacks","34","32","7","2","0","1","3","3","1","6","0","0","0"," ",".224",".262",".348",".611",".270"," ","65","0.0","0.0"," ","-1.3","0.1","0.0","11615"
"Yuniesky Betancourt","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".259",".355",".614",".270"," ","66","0.0","0.0"," ","0.0","0.0","0.0","8585"
"Ty Wigginton","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".277",".324",".601",".269"," ","70","0.0","0.0"," ","0.0","0.0","0.0","1491"
"Pedro Ciriaco","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".274",".335",".609",".269"," ","68","0.0","0.0"," ","0.0","0.0","0.0","5278"
"Miguel Tejada","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".245",".280",".326",".606",".268"," ","68","0.0","0.0"," ","0.0","0.0","0.0","941"
"Cody Ransom","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".197",".267",".327",".594",".268"," ","65","0.0","0.0"," ","0.0","0.0","0.0","1126"
"Elian Herrera","Brewers","112","103","24","4","1","1","9","8","7","23","1","2","1"," ",".234",".285",".310",".595",".268"," ","64","0.0","-1.3"," ","-4.5","-0.4","-0.2","5432"
"Jack Hannahan","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".280",".310",".590",".267"," ","65","0.0","0.0"," ","0.0","0.0","0.0","3692"
"Taylor Featherston","Angels","68","63","14","3","0","1","6","6","3","16","1","1","1"," ",".222",".265",".335",".599",".266"," ","72","0.0","0.0"," ","-2.1","-0.8","-0.1","12590"
"Gil Velazquez","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".283",".312",".594",".266"," ","65","0.0","0.0"," ","0.0","0.0","0.0","2070"
"Richie Shaffer","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".261",".332",".593",".266"," ","72","0.0","0.0"," ","0.0","0.0","0.0","13271"
"Andres Blanco","Phillies","66","60","14","3","0","1","5","5","4","12","1","1","1"," ",".228",".275",".323",".597",".266"," ","66","-0.1","-1.1"," ","-2.7","-0.3","-0.1","1907"
"Andrew Romine","Tigers","151","138","32","5","1","1","14","12","10","29","1","4","2"," ",".234",".286",".302",".589",".265"," ","65","0.1","0.3"," ","-5.7","1.4","0.1","1159"
"Brandon Inge","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".268",".322",".591",".265"," ","68","0.0","0.0"," ","0.0","0.0","0.0","470"
"Kristopher Negron","Reds","254","235","50","10","1","5","21","22","13","67","3","5","3"," ",".213",".262",".329",".591",".264"," ","63","0.2","-2.0"," ","-10.3","0.0","-0.3","5306"
"Luis Cruz","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".262",".331",".593",".262"," ","62","0.0","0.0"," ","0.0","0.0","0.0","3188"
"Pete Orr","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".263",".328",".591",".262"," ","63","0.0","0.0"," ","0.0","0.0","0.0","2748"
"Jeff Bianchi","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".270",".314",".584",".261"," ","60","0.0","0.0"," ","0.0","0.0","0.0","9958"
"Hector Gomez","Brewers","179","168","36","7","1","3","15","17","7","38","2","2","1"," ",".215",".250",".333",".583",".258"," ","58","0.0","-0.1"," ","-8.5","1.0","-0.2","2264"
"Reid Brignac","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".208",".267",".309",".576",".258"," ","60","0.0","0.0"," ","0.0","0.0","0.0","8380"
"Chone Figgins","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".207",".282",".276",".558",".256"," ","63","0.0","0.0"," ","0.0","0.0","0.0","1580"
"Guilder Rodriguez","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".280",".268",".548",".250"," ","51","0.0","0.0"," ","-0.1","0.0","0.0","3412"
"Ian Stewart","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".181",".252",".303",".555",".250"," ","61","0.0","0.0"," ","0.0","0.0","0.0","5950"
"John McDonald","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".263",".290",".553",".248"," ","60","0.0","0.0"," ","0.0","0.0","0.0","395"
"Paul Janish","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".213",".263",".283",".546",".247"," ","54","0.0","0.0"," ","-0.1","0.0","0.0","7412"
"Kaleb Cowart","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".204",".252",".296",".548",".246"," ","58","0.0","0.0"," ","0.0","0.0","0.0","11494"
"Nick Noonan","Giants","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".217",".260",".284",".544",".244"," ","57","0.0","0.0"," ","0.0","0.0","0.0","6880"
"Alberto Gonzalez","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".248",".287",".535",".238"," ","45","0.0","0.0"," ","-0.1","0.0","0.0","4906"
"Dustin Coleman","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".181",".236",".283",".519",".235"," ","48","0.0","0.0"," ","-0.1","0.0","0.0","8979"
